,Building_Height_(m),Number_of_Floors,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm),repair,Building_Type_Industrial,Building_Type_Residential,Fire_Occurrence_Yes,Type_of_Fire_Electrical,Type_of_Fire_Negligence,Fire_Scale_Medium,Fire_Scale_Small,Sprinkler_System_Present_Yes,Electrical_Equipment_Inspection_Conducted_Yes,Gas_Equipment_Inspection_Conducted_Yes
8301,34,10,41,4,10,6,19.60275820381217,0.820677747592573,3.293541072948259,64.05404044353241,0.5,0,0,0,0,1,1,0,1,1,1
12366,23,6,16,8,9,11,17.810123331769777,0.8577963690424184,2.044465374992874,39.25704133592887,0.75,0,0,0,0,1,1,0,1,1,1
2712,6,2,36,6,1,0,18.99018795238226,0.9070064642975362,2.6277876026086595,2.3,0.25,0,1,0,1,0,0,1,0,0,0
11288,45,13,32,9,12,4,28.888416624378745,0.6146008295113373,2.073410919650298,17.47575608995337,0.5,1,0,0,0,0,1,0,1,0,0
518,46,13,14,1,13,5,16.802143554165326,0.8342693416512529,2.1852315139579286,27.26990065323303,0.5,0,1,0,0,1,0,1,1,1,1
6876,28,8,25,4,6,6,27.870599191553115,0.8375577343405297,0.6,2.3,0.75,0,1,0,0,0,0,0,0,0,0
5910,27,7,29,3,9,9,23.60536739048361,0.7100039402445033,2.335692830914548,56.50546290712445,0.75,0,1,0,0,0,1,0,1,0,1
10970,18,5,22,8,2,8,18.96006112119827,0.4539407377056443,0.8567353646593006,71.19347197700196,0.0,0,1,0,0,1,1,0,0,0,0
9351,29,8,30,6,4,10,28.1229422633526,0.7003440557433938,3.2099455800821874,36.01117856578891,0.0,0,1,0,0,1,0,0,1,0,0
6959,15,4,21,6,1,7,19.36800423480868,0.5086662924537367,0.6897613302479058,62.75718659929954,0.25,0,0,0,0,0,0,1,0,0,0
4919,23,7,37,6,6,14,28.82151411907009,0.770979442505868,2.3143347495328896,50.47827956648939,0.25,0,0,0,1,0,0,0,1,0,0
5202,13,3,42,6,5,8,20.1428501745053,0.7663890841991196,1.8236746472712968,28.3018960029189,0.5,0,1,0,0,1,1,0,1,0,1
2301,28,8,34,6,6,3,25.338892652169363,0.6607683598597842,4.9,29.129050693215337,0.0,0,0,0,0,1,1,0,0,0,0
13452,47,14,30,7,12,9,21.89799652007078,0.7804711219983186,2.3670151634588548,44.40063571825358,0.25,0,0,0,0,1,0,0,0,0,1
6884,9,2,28,6,3,8,18.8473812515647,0.6983683812027546,2.769333227565788,43.99369272767878,0.5,0,1,0,0,1,0,1,1,0,0
8974,10,3,23,10,3,1,27.570984117994847,0.7056613371116943,3.850504029316795,86.34763779630396,0.0,0,1,0,0,0,1,0,1,0,1
826,7,2,19,6,3,4,19.46586268258055,0.5838808227481572,2.0019037017690207,30.643706841901828,0.0,0,1,0,1,0,1,0,0,0,0
12252,14,5,0,10,6,0,26.54685917969951,0.6037401039478318,4.137138725469486,15.331092655176604,0.25,0,1,0,0,1,0,1,1,0,0
15531,18,5,50,5,5,0,15.38042252795818,0.5326974816232432,2.794170400347177,46.90273601216258,0.75,0,1,0,0,0,0,1,1,0,0
7711,42,12,11,5,10,11,23.117203037003005,0.6352090778375649,3.5036829701975734,36.65898150175578,0.25,0,1,0,0,0,1,0,1,0,0
6339,28,8,17,8,5,10,15.1,0.6028546310837165,2.155738856116725,27.18020139242945,0.75,0,1,0,1,0,1,0,1,0,0
11544,6,1,32,7,2,0,15.1,0.44068632855434375,2.954076527641826,23.6253544616888,0.25,0,1,0,0,0,1,0,1,0,0
1948,38,11,20,7,4,4,29.7,0.6502934160609093,4.094309435448752,8.170109623348896,0.75,0,0,0,0,1,1,0,1,0,0
10426,49,14,19,7,10,9,19.757017959536604,0.4822174856721939,3.639650874200613,9.241886589643308,0.0,0,1,0,0,1,0,0,0,0,0
15567,24,7,36,6,4,8,18.63158006653281,0.5293571132713998,1.2421537273080652,2.3,0.0,0,0,0,0,1,1,0,1,0,0
6391,34,10,27,2,10,9,29.7,0.9070372915367868,3.5200836826502613,14.193622168512093,0.0,0,1,0,0,0,1,0,0,0,0
12278,20,5,36,4,1,5,17.656485947124317,0.40399999999999997,2.5687141366177526,55.940353982739886,0.25,0,1,0,0,1,1,0,0,1,1
9752,35,10,31,5,10,7,16.935513662827862,0.5749271176849067,4.243451949794872,16.89530923157337,0.0,0,1,0,0,0,0,0,1,1,1
15496,34,9,25,5,5,9,20.234334203268386,0.5061866909080632,2.575486339481352,21.90407946582483,0.0,0,0,0,0,0,0,1,0,0,0
13040,18,6,12,7,2,10,21.54316553032925,0.5463397720962186,0.8629228625916336,25.152134604246243,0.0,0,0,0,0,0,0,1,1,0,0
8421,49,14,22,9,11,11,28.75883857269728,0.5370172749846855,1.8048120142206592,35.40058268288058,0.25,0,0,0,0,0,0,0,1,0,1
9282,21,6,43,2,7,5,22.08220253796487,0.9940000000000001,3.026495338887297,19.869879372645567,0.25,0,1,0,1,0,0,1,0,0,0
1104,20,5,15,3,3,0,23.110594373012685,0.5332053174197596,1.4246454423956774,20.608858714631204,0.75,0,1,0,0,0,1,0,1,0,0
5216,22,6,24,5,4,5,19.87381006264946,0.6911184768149486,2.274863206080963,21.164871127424377,0.25,0,1,0,0,0,0,1,0,0,0
11438,20,6,16,7,3,0,21.97298625989525,0.8126461915490454,2.6109466737555453,18.773643828436192,0.25,0,1,0,0,0,1,0,0,0,0
1073,8,3,20,9,5,7,15.1,0.4394156941882645,2.6068599228431646,84.47091699354615,0.25,0,1,0,0,1,0,0,1,0,0
14789,5,1,40,3,3,3,23.46514521146027,0.792499963474271,3.3297858660814814,68.86008814408913,0.0,0,0,0,1,0,1,0,1,0,0
295,17,5,38,5,5,5,19.571124264802915,0.9135170075240455,3.032319467378973,21.34843924957641,0.75,0,1,0,0,1,0,1,1,0,0
9513,43,12,11,8,9,6,17.06283956282547,0.5125095357129822,0.7515711147383366,17.519014861217343,0.0,0,1,0,0,1,0,0,1,0,0
15845,5,1,17,5,1,0,17.473723048818716,0.4807620857134139,3.391367448365362,18.3980159170669,0.75,0,1,0,0,0,1,0,0,1,1
5342,28,8,5,8,13,11,23.581963093451936,0.6194802713151941,2.9040214832436693,37.47324862544536,0.5,0,1,0,0,1,1,0,1,1,1
1315,15,5,23,10,3,10,21.654277614851143,0.45719641869761934,0.6,49.36373160545182,0.0,0,1,0,0,1,1,0,0,1,1
10063,35,10,20,8,7,16,25.75802288269315,0.8115613626497484,1.906686723009396,54.15745913040412,0.0,0,1,0,0,1,1,0,1,0,1
10004,37,10,24,5,9,13,23.26529676298888,0.5290157030744199,4.224928499185853,42.2541769190182,0.75,0,0,0,0,1,0,0,1,0,0
10772,13,4,28,4,2,4,23.34899398948132,0.7330266917964865,3.661552028624698,65.42099469252287,0.0,0,1,0,0,0,1,0,1,1,1
7628,20,6,16,4,8,13,21.09380605853577,0.688326454599934,4.338109404091714,41.01947270920561,0.25,0,1,0,0,0,1,0,1,1,0
6902,42,12,20,6,11,18,23.0789795494485,0.6064744078343725,4.099983348622809,44.10113494149381,0.0,0,0,0,1,0,1,0,1,0,0
12903,26,7,13,6,8,6,22.003883585184024,0.8704527780577616,1.7775685071310892,40.77569354517107,0.0,0,1,0,0,0,1,0,1,0,0
153,33,10,42,5,11,17,24.26358736248939,0.9940000000000001,1.180493324074493,46.93217716838292,0.0,1,0,0,0,0,1,0,1,0,0
9076,31,10,18,6,3,9,22.99533340743303,0.6686422663668283,2.897191271504496,12.728509071090198,0.25,1,0,0,0,0,1,0,1,0,0
10811,34,9,22,10,6,3,25.28331520410285,0.728461299229845,0.6,32.06994147575067,0.75,0,0,0,0,1,0,1,0,0,0
15192,17,5,20,7,4,2,23.740403160273026,0.40399999999999997,3.664683672279809,3.0765438671399536,0.0,0,1,0,0,0,0,1,0,0,0
8536,15,5,24,10,5,4,15.1,0.7080929206279339,1.6389734392174524,68.88627806536834,0.25,0,0,0,0,1,1,0,0,1,1
3369,29,8,24,4,7,7,23.475825347519,0.49308662644433937,4.9,35.1527034358639,0.0,0,0,0,0,1,0,0,1,1,1
4994,32,9,50,2,6,9,29.7,0.4124263723382772,1.4112794395237371,45.17828077139205,0.75,0,1,0,0,1,0,0,1,1,0
895,27,8,17,10,8,2,21.817443651956903,0.889383614896522,1.1016783515114552,2.3,0.5,0,1,0,0,1,1,0,0,0,0
7629,11,3,33,4,7,4,21.949298780603648,0.5239476913258175,4.206680855963508,58.31163743513176,0.0,0,0,0,0,0,1,0,0,0,0
1662,10,3,45,5,1,2,19.496485268786035,0.5135985072868516,3.633772720727525,7.874640836488169,0.5,0,0,0,1,0,1,0,0,0,0
6639,30,8,31,4,6,8,21.253255306061,0.565690174451224,1.802737912863914,63.63077214348365,0.25,0,0,0,0,0,0,0,0,1,1
3964,16,5,13,6,5,9,25.96690433659319,0.4631702574403976,3.5901142526987453,26.22470930036836,0.5,0,1,0,1,0,0,1,0,1,0
3691,11,3,23,9,1,4,23.714424006782167,0.9192400164353292,2.6076711412855578,30.92258728805721,0.25,0,0,0,1,0,0,1,1,0,0
7278,14,4,23,8,8,6,18.35133567746598,0.858695421404651,1.867563694039936,33.823018014634606,0.0,0,0,0,0,1,0,1,1,0,0
2416,27,8,24,8,4,0,18.552590343656483,0.5686538379026457,1.3488488223088888,2.3,0.75,0,1,0,0,0,1,0,1,0,0
9496,28,9,37,7,6,9,24.69352265267337,0.7742178914127872,2.2099178031508204,29.357942765028618,0.25,0,0,0,0,1,0,0,0,0,1
14587,19,5,15,6,2,8,29.7,0.647415237964035,4.483378759942927,15.47763583847519,0.5,0,0,0,0,1,1,0,1,0,0
5495,23,6,26,9,4,2,22.97860934280438,0.5885697798811226,1.050136275443887,56.08399494575643,0.0,0,0,0,0,1,0,1,0,0,0
15517,41,12,23,10,8,12,23.20653473022437,0.6905936956298397,1.5206521667099204,2.3,0.25,1,0,0,0,0,0,0,1,0,1
11899,13,4,12,8,1,4,24.457915529937207,0.5920321374650771,3.498527411808662,24.88853899499744,0.75,0,0,0,0,0,1,0,1,0,0
5590,18,5,45,9,5,7,24.82853707779136,0.758050063976202,0.6,53.44848084467387,0.25,1,0,0,0,1,1,0,0,0,1
6469,39,12,16,8,9,0,17.641913615692037,0.40399999999999997,3.689553756481328,3.822214556041338,0.25,0,1,0,0,0,1,0,1,0,1
6130,46,13,27,6,13,7,20.55370866650618,0.9093617737008581,2.860327540614017,45.813680354291535,0.0,0,1,0,0,1,1,0,0,0,1
840,32,9,5,8,12,15,15.1,0.691990444696168,3.5885867441399504,30.31763430312016,0.25,0,1,0,0,1,0,1,1,0,1
5800,23,6,18,9,7,4,24.9548693189008,0.7628886572756778,2.98013226469914,26.26446594031277,0.5,0,1,0,0,0,0,1,1,0,0
3988,5,1,47,9,1,0,21.690995696796616,0.41983583243143174,3.025434721492791,2.3,0.25,0,1,0,0,1,1,0,0,0,0
15812,19,6,28,3,2,4,24.39631266026389,0.6497989734585498,2.283003404134593,37.57495673223016,0.0,0,1,0,0,1,1,0,0,0,0
15919,29,9,50,5,6,15,23.61428946711496,0.59469671950576,0.6,44.02331472061806,0.0,0,0,0,0,0,0,1,0,0,0
248,5,1,30,7,1,8,23.91095578962078,0.5995073227850053,1.520420068939398,52.92583566519943,0.25,0,1,0,0,1,0,1,0,1,1
6513,14,3,33,7,8,11,21.64757225885804,0.6567119702381032,4.505097166000282,57.93324391937484,0.25,0,0,0,0,1,1,0,1,0,0
1143,22,6,37,6,6,2,24.13587382185396,0.6542469300006805,2.441330405965801,53.86723309305587,0.0,0,1,0,0,1,0,1,1,0,0
14390,17,4,26,5,1,5,17.207795504515524,0.5647587731505371,1.997091242831176,2.3,0.0,0,0,0,0,0,0,0,0,0,0
10220,14,4,30,6,1,8,15.1,0.4317840146407493,4.448916908471842,23.89116475709241,0.0,0,0,0,0,0,0,1,0,0,0
2958,6,2,25,8,2,7,21.529729844499634,0.6389268825965896,2.1059988357661417,57.69624265461987,0.0,0,0,0,0,1,0,1,1,0,0
275,13,4,42,10,6,8,23.67701561285536,0.7573788995926595,1.0266886166824498,26.835879380291843,0.75,0,0,0,1,0,1,0,1,0,0
12376,12,4,6,1,2,3,22.21399991723268,0.6684417789891164,2.826877950088344,32.0880662937738,0.0,0,1,0,0,0,0,1,0,0,0
7362,41,12,29,6,15,8,24.33175521674436,0.9940000000000001,1.5541250152855894,34.3327128668843,0.75,0,1,0,0,0,1,0,1,0,0
4928,29,8,32,6,7,5,21.497817932270284,0.8330638985815288,1.7233773290028034,16.5115571094395,0.75,0,0,0,0,1,0,1,0,0,0
13663,41,12,38,6,12,10,27.942061117068864,0.9940000000000001,2.207141002866443,15.76352609377244,0.25,0,0,0,0,0,1,0,1,0,0
5796,10,3,46,5,1,9,26.68164091388376,0.547631233499818,2.3664666281273683,12.413870182999243,0.75,0,1,0,0,1,0,1,0,0,0
4952,30,9,26,9,9,2,18.816073180237684,0.6762261779162932,1.4599891329661414,14.067458481717043,0.75,0,1,0,0,1,0,1,1,1,1
9096,44,13,17,6,10,13,29.7,0.7299996772630548,1.3905828275635692,21.09693065487677,0.5,1,0,0,0,1,1,0,0,0,0
13652,15,4,35,6,4,1,19.991210956337223,0.8214079503138388,3.1342425874549726,47.19991485590701,0.0,1,0,0,0,1,0,0,1,0,0
12146,49,14,34,6,14,8,26.99719728672137,0.745780889798545,1.6576855639873984,30.43887743306308,0.25,0,1,0,0,1,0,0,1,0,1
6198,39,11,15,8,8,2,25.537879442808045,0.9940000000000001,0.9842632834804022,32.4790122156863,0.0,0,0,0,1,0,0,1,0,0,0
9423,16,4,13,6,2,8,27.67883974651572,0.7854251370268959,3.3438981602205127,37.33946163472039,0.0,0,0,0,0,1,1,0,0,0,0
3906,19,6,4,10,2,16,26.32286494369874,0.40399999999999997,2.349334529503356,62.168605636908055,0.0,0,0,0,0,1,0,0,1,0,0
11047,30,8,42,5,10,8,25.298615958980008,0.877950000386935,3.0544742310037245,51.50752575988784,0.25,0,0,0,0,0,1,0,1,0,0
9000,37,10,24,4,4,11,24.0795734339179,0.41048126106795574,2.473550153538272,26.167066905415545,0.5,0,0,0,0,1,1,0,1,0,1
12499,45,13,29,7,11,12,25.04655767302042,0.792470556216486,0.7547500290044735,68.52821889208612,0.25,0,1,0,0,1,1,0,1,0,0
13209,9,2,40,8,5,6,21.68533174571009,0.6579752391924331,4.305810200295058,27.90802671388346,0.5,0,1,0,1,0,1,0,1,0,0
11560,41,12,21,10,11,11,29.331371909463613,0.5704570677051333,3.3162594948473343,24.68334910485713,0.5,0,0,0,0,0,1,0,1,1,0
11178,18,5,18,6,5,4,19.66223035085733,0.8440469208153155,1.2983666450919304,2.3,0.5,0,1,0,0,0,1,0,0,0,0
11111,49,14,23,8,13,13,23.93278967772247,0.7110490161078189,2.2923881076533017,56.3923117969296,0.25,0,0,0,0,0,1,0,1,0,0
6764,29,8,29,7,8,10,29.7,0.8611420869646023,2.148313257596428,33.23177450013209,0.25,0,0,0,0,1,0,1,0,0,0
3808,11,3,0,10,1,5,20.43956413575561,0.6336091695197189,2.056006856508977,16.013450380197185,0.75,0,1,0,1,0,1,0,0,0,0
166,41,12,21,6,14,9,18.19215122927952,0.9614975273766404,4.03954678822741,2.3,0.25,0,1,0,0,1,1,0,1,0,1
8303,5,1,38,7,2,10,19.803218577645808,0.8725315769865855,2.847404055651233,27.275795578230845,0.0,1,0,0,0,0,1,0,0,0,0
5158,41,11,18,10,10,11,18.77837788806729,0.4360517427828974,1.5066311219220374,26.66464779179827,0.25,0,1,0,0,0,0,1,1,0,0
4749,31,9,10,5,9,10,19.376859337614324,0.7519931313208693,2.86830527261334,24.819220840320952,0.25,0,1,0,0,0,1,0,0,0,0
10850,25,8,23,6,8,10,22.618406375338225,0.5870033119460605,1.0168130332050334,56.65899855696052,0.25,0,0,0,0,1,0,0,1,1,1
7528,25,7,36,6,15,18,15.1,0.8777599651921788,1.6893741128865811,86.8804180291992,0.75,0,1,0,0,0,1,0,1,1,1
15146,26,8,16,9,5,11,22.62941044531686,0.46275218690727493,2.04955188623203,16.056422491811603,0.25,0,1,0,0,1,1,0,1,0,0
15377,40,11,27,5,5,4,26.01006145849869,0.7708404793701759,2.668554418331257,2.3,0.25,0,0,0,0,1,0,1,0,0,1
7575,37,10,16,7,8,2,21.85761875215069,0.6874807955104936,1.7522291472168,20.51490689486881,0.75,0,0,0,0,0,0,1,1,1,0
9548,17,5,6,8,5,13,16.9891296981259,0.6753486474122395,2.9218642570171034,60.72782187152421,0.75,0,0,0,0,0,0,1,1,1,0
14775,15,4,36,3,5,4,25.668318374715607,0.6932157061770415,4.407617708022851,55.04452613609625,0.25,0,0,0,0,0,0,0,1,0,0
13303,17,5,28,8,6,4,22.26948160336352,0.6407123016036027,1.3548681495187551,73.98126542893507,0.25,0,1,0,0,1,0,1,1,0,1
2489,25,7,8,7,10,8,20.96090383679625,0.8119055748754397,2.4498248690557856,14.651593738148826,0.75,0,1,0,1,0,1,0,1,0,0
7889,31,8,39,9,5,0,18.35767223940915,0.7134685300237222,0.6,18.6429708642556,0.75,0,1,0,1,0,0,1,0,0,1
3831,25,7,39,6,8,10,20.166114267411423,0.6052732288933302,0.6,45.95471672136068,0.25,0,1,0,0,0,1,0,0,0,0
2970,28,8,27,6,7,11,29.7,0.7831294351731707,0.6565043340565859,2.3,0.25,0,1,0,0,1,1,0,0,0,0
9019,19,5,39,8,7,3,21.149374141960266,0.711314525842478,1.9476890018984023,17.48229013845874,0.25,0,1,0,0,0,0,1,1,0,0
14517,19,5,27,6,6,11,19.33624835384452,0.7987553785161344,2.036706947348235,2.3,0.75,0,1,0,0,1,0,1,0,0,1
5367,23,7,40,5,10,17,18.38246198423442,0.8966030530744631,1.2575681320154772,48.30957532497453,0.5,0,1,0,0,1,0,0,0,0,0
5182,36,10,21,7,9,4,20.591970080878813,0.7831427112812993,3.5483589532648208,5.857619446235578,0.0,0,0,0,0,0,0,0,0,0,0
9066,46,14,29,5,17,10,21.06820348338936,0.9940000000000001,3.107316203635368,40.03020486043668,0.75,0,1,0,0,1,0,1,1,0,1
9125,35,10,37,5,8,10,16.194661811551818,0.7005621942865475,0.6,49.92835754666628,0.25,0,1,0,0,1,0,0,1,1,1
14773,21,6,32,6,5,6,27.993580861873863,0.7045331364192136,4.9,17.28701494623322,0.75,0,0,0,0,0,1,0,1,0,0
14291,38,10,34,6,15,9,24.02614517603581,0.9940000000000001,1.6570484434301638,47.41428189725856,0.5,0,1,0,0,1,1,0,1,0,0
10770,26,7,15,9,6,9,19.34729234276955,0.6467660087052733,1.195589021681725,44.71788968545132,0.25,0,0,0,1,0,1,0,1,0,0
8482,49,14,0,6,14,13,24.47568339276796,0.6929467520098459,3.4165284260717046,52.355727659371546,0.75,0,1,0,0,1,0,0,1,1,1
15332,13,3,50,5,4,9,20.348496288679502,0.617641225620125,2.246034068338095,8.160042546181064,0.25,0,1,0,0,1,1,0,1,0,0
3634,38,10,44,10,8,0,26.614991600021405,0.8557860760039415,3.136042261512088,6.942220005491475,0.5,0,0,0,0,1,0,1,1,1,0
14094,39,11,41,5,6,10,24.826401198322408,0.6072120302944062,1.3503682874048455,25.4277692310174,0.75,1,0,0,0,1,0,1,1,0,1
10629,8,2,29,6,2,2,25.511290165556,0.6866396125075502,3.60006627340094,22.95910243375733,0.5,0,1,0,0,0,1,0,1,0,0
13203,34,10,22,8,10,6,24.25902195739509,0.5902898744560591,1.6470866899468146,9.648378556420482,0.25,1,0,0,0,0,0,0,1,0,0
13671,23,7,15,8,5,4,25.032486662971927,0.5358718963859119,0.6,60.64273757926721,0.25,0,1,0,0,0,1,0,0,0,0
11753,40,12,41,4,9,3,22.80468928208454,0.9731171139191948,3.325031158703912,2.3,0.0,1,0,0,0,1,1,0,0,0,0
14683,35,10,50,7,13,13,23.433875470426383,0.8100509003969333,4.9,30.234035877473254,0.0,1,0,0,0,1,1,0,1,0,1
5290,29,8,28,5,8,8,16.23176515553972,0.5965457670490593,4.467344253366297,36.5218059599958,0.25,0,1,0,0,1,0,1,1,1,0
8575,31,9,30,5,7,7,20.06169657406277,0.5747192899165221,4.156143843254157,7.91608708814967,0.75,0,1,0,0,0,1,0,1,0,0
12106,38,11,38,4,8,10,25.47663574312891,0.5407755318374075,1.967073359622832,15.890165314544362,0.0,0,0,0,0,0,1,0,1,0,0
2034,6,2,16,10,8,9,17.30331373790785,0.63461063651882,2.9035028590711858,53.9950025350369,0.25,0,1,0,0,0,0,1,1,0,1
11975,49,14,17,5,17,8,25.82534273688798,0.933664744422241,2.3860639301321704,46.63101737621848,0.5,1,0,0,0,1,0,1,1,1,1
5949,30,9,8,9,6,0,25.941357302406708,0.7331187566488082,2.402648408714381,57.8546719272109,0.0,0,0,0,0,0,1,0,1,0,0
3284,28,8,43,3,11,15,15.1,0.7326998351753133,1.920769503460677,39.24377421714424,0.75,0,1,0,0,0,0,1,1,1,1
4524,31,9,25,6,8,11,18.54358644088078,0.5341255648459418,2.353031012933546,42.2193884647192,0.75,0,0,0,0,1,0,1,1,0,0
6010,28,8,27,9,5,7,25.47799372291989,0.70055425522047,2.569984591152707,38.46914171534823,0.5,0,0,0,1,0,0,1,1,0,0
15315,23,6,50,5,6,2,23.77579551082977,0.677053628437282,3.2165772806309394,61.355285639376696,0.0,0,0,0,0,1,0,1,1,0,0
12779,11,4,40,8,4,6,21.52133733272891,0.48368875913050857,3.873063878393691,47.77318599568607,0.75,0,0,0,0,1,0,0,1,0,0
11923,7,2,39,1,1,6,16.691883250523606,0.7717627687314712,3.26412690671394,38.68227313184333,0.0,0,0,0,0,0,0,1,1,0,0
4692,35,10,30,10,8,6,21.73023519945136,0.5826724034503554,2.0496457441082683,29.97821408133852,0.75,0,1,0,0,0,0,1,1,0,0
12207,5,1,42,6,1,0,17.87523638360905,0.6154645268049074,4.143932705212441,33.34650042480124,0.75,0,0,0,0,1,0,1,0,0,0
14240,15,4,38,10,4,12,24.23114815104639,0.5030894576750193,3.279611987326021,45.620940205245134,0.0,0,1,0,0,1,1,0,0,0,0
11715,38,11,25,10,12,9,22.060919390237387,0.7861164017996616,1.7303934940644203,55.89197708717224,0.25,0,1,0,0,1,1,0,1,0,0
12051,12,3,50,2,7,0,20.124736572682867,0.8801789855256682,4.9,65.43596045150895,0.25,0,0,0,0,0,0,1,1,0,0
6193,49,14,24,6,10,7,20.325328663136464,0.6173028857026245,1.4048762800680656,26.8271562862796,0.0,0,1,0,1,0,1,0,1,1,0
4503,39,11,11,10,9,6,25.06248926452319,0.7195263775603911,2.385632985219224,16.90622423661312,0.75,0,1,0,0,1,1,0,0,0,0
13166,20,6,6,9,9,13,22.7151960025508,0.8146182069967726,3.045256891308493,2.394779499108431,0.0,0,1,0,0,1,0,1,1,0,0
7351,41,12,23,4,11,8,22.69223010199057,0.5605130574682619,4.364669576232685,5.459397997557474,0.25,0,0,0,0,1,1,0,0,0,0
1351,49,14,32,7,17,20,24.914943778097985,0.7204255543019884,2.450489418730079,73.21159778853318,0.25,0,1,0,0,1,0,0,1,1,1
14130,49,14,50,5,15,15,24.939390957591765,0.8332935990529449,3.388654067183785,42.269364852888046,0.25,1,0,0,0,0,1,0,1,0,0
9930,28,7,35,5,7,12,15.660434190537206,0.6718190902946329,2.354110274262993,66.14248479720148,0.25,1,0,0,0,0,0,0,0,0,0
8797,22,6,19,10,10,14,25.19219061805235,0.49645543665269526,4.15780961498465,56.212390315925326,0.25,0,1,0,0,1,0,0,1,1,0
6555,27,8,31,10,8,6,25.17898720239876,0.7470715873711151,2.877281342643243,84.65172045457312,0.0,0,0,0,0,1,0,0,1,0,0
7136,38,11,26,6,14,14,19.36477322690672,0.6032587481172267,1.807283769509663,63.55977342066085,0.25,0,0,0,0,1,0,1,1,0,1
2103,21,6,26,10,3,8,21.60905186380828,0.6363178866674221,1.3369428212845886,11.100698460298933,0.25,1,0,0,0,0,0,0,1,0,0
10906,38,11,22,4,15,12,20.9846284883428,0.9940000000000001,4.856995501468899,41.94454268978169,0.75,0,1,0,0,1,0,0,1,0,0
8917,25,7,30,5,9,8,22.046626837801924,0.9940000000000001,1.914077739080429,47.03876479875759,0.25,1,0,0,0,1,0,1,0,0,0
10078,22,7,32,1,12,8,16.036771824812117,0.7837309583937576,2.095979019493808,67.40599403770649,0.0,0,1,0,0,0,1,0,1,0,1
919,29,8,11,7,6,6,16.06266023759185,0.5603044674625914,0.6,14.848977270966625,0.0,0,1,0,0,0,1,0,0,0,0
13918,10,2,34,4,1,1,18.386559091098267,0.6176336232881842,1.844764961173913,26.0215162390477,0.25,0,1,0,0,0,1,0,0,0,0
9296,38,10,15,8,10,14,21.21235835809316,0.40399999999999997,4.9,17.14787630447884,0.75,0,0,0,0,1,1,0,1,0,0
46,19,5,41,9,1,1,20.4,0.706,0.9,12.3,0.75,0,0,0,1,0,0,1,0,0,0
7863,44,13,33,9,13,5,27.30864480943775,0.7542780164053192,3.170377017759055,27.51637456346092,0.0,0,1,0,1,0,1,0,1,0,1
9845,20,6,0,8,3,7,19.16994843196517,0.5526891383895502,2.4573839911097144,27.373105224566885,0.0,0,1,0,0,0,0,0,0,0,0
4305,20,5,49,9,4,7,24.5003308283788,0.6068305554146043,3.636029703380191,89.41212661680663,0.0,1,0,0,0,1,1,0,1,0,0
2425,17,5,24,10,4,9,18.132287612987632,0.5773491498893548,1.897044060192364,48.8949600739005,0.0,0,1,0,0,0,0,1,1,0,0
4428,15,4,45,4,3,5,28.961212039526018,0.879934415861033,4.05771761288095,23.36028303709781,0.0,1,0,0,0,0,1,0,0,1,1
2202,31,9,11,6,7,8,16.306595372316597,0.5787524861838197,0.7746352926254794,29.748829754548908,0.25,0,1,0,0,1,0,0,1,0,1
10249,37,10,15,2,4,0,17.187807360001475,0.47971978278739447,4.9,10.96688308569183,0.0,0,0,0,0,0,0,1,0,0,0
13711,43,12,0,5,12,13,15.737529520880509,0.7065531119646304,1.7200104970567076,31.83517075504796,0.5,0,1,0,0,0,1,0,1,0,1
12670,42,12,21,7,11,9,29.077637651723016,0.7756340278912457,2.2136003497233525,10.144305833717748,0.0,0,0,0,0,0,0,1,1,0,0
2066,5,1,19,9,2,2,19.160871376319555,0.9303086099371538,2.0063603220584514,46.84259133914615,0.0,0,1,0,0,1,0,1,0,0,0
4383,21,6,48,2,4,13,27.097373982894723,0.6062037539339361,2.741890204066812,44.04485671846084,0.75,0,0,0,0,1,0,0,1,0,0
1244,27,8,37,4,8,0,15.1,0.640185362600413,2.389293954745933,2.3,0.0,0,1,0,0,0,0,1,0,0,0
750,21,6,29,6,7,3,24.66791201944274,0.9940000000000001,2.2984197159602897,4.867056963576207,0.75,1,0,0,0,1,1,0,0,0,1
7014,33,9,24,1,2,2,23.81050006543147,0.5645751036709415,1.4401962819105207,5.282490793795738,0.25,0,1,0,0,0,1,0,1,1,0
6018,40,11,18,10,11,12,23.623915048965404,0.762645774223224,2.208023493798799,25.184516100382297,0.0,0,0,0,0,1,0,1,1,1,1
4898,42,12,22,4,13,18,15.163704094050168,0.9564405147556659,1.993773056826996,21.009554119626284,0.5,0,1,0,1,0,0,1,1,1,1
1987,44,12,26,10,9,2,19.58753098230933,0.5972068764385033,0.6,9.60888155877486,0.25,0,1,0,0,1,1,0,0,1,1
11745,48,13,35,7,13,9,29.7,0.7661791594245926,3.4477913742490864,23.02685384551255,0.5,1,0,0,0,0,0,0,1,0,1
4634,22,6,26,8,8,5,25.82118826781683,0.7783193512165806,1.0233571772581855,7.044652011507797,0.25,0,1,0,0,0,0,1,0,0,0
11660,36,10,7,10,7,12,20.769921509271928,0.5217217997995189,3.818251776194209,2.3,0.25,0,1,0,0,1,1,0,1,0,0
