Building_Type,Building_Height_(m),Number_of_Floors,Fire_Occurrence,Type_of_Fire,Fire_Scale,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Sprinkler_System_Present,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Electrical_Equipment_Inspection_Conducted,Gas_Equipment_Inspection_Conducted,Recent_Repair_Replacement_History,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm)
Residential,8,2,No,Negligence,Medium,14,4,Yes,2,6,No,No,Over 3 years,19.20110422571151,80.32903132982366,2.695616170834395,45.58983727226787
Commercial,31,8,Yes,Negligence,Large,40,2,Yes,6,7,No,No,1-3 years,21.102193320551585,82.77676093397727,3.4813423789663376,37.288923890670944
Commercial,24,7,No,Negligence,Medium,43,7,No,9,14,No,No,None,26.75154241492997,75.4298308240052,3.4719328874122954,55.87449727425783
Residential,15,4,No,Chemical,Medium,30,10,Yes,7,9,No,No,Within 1 year,27.93812168636687,69.18587392296831,2.043088109128895,8.539646036577587
Industrial,35,10,Yes,Negligence,Small,14,5,Yes,5,6,No,No,None,22.58181729348493,56.4634033185183,2.7543494249582765,30.437594063050923
Commercial,46,13,No,Chemical,Small,5,6,Yes,16,15,No,No,Within 1 year,26.06104126531671,99.4,1.4488935521883322,50.98668344188139
Residential,40,12,No,Negligence,Small,4,6,Yes,9,12,No,No,Over 3 years,28.84954422333273,59.45710730475741,2.7972538909870264,35.372162822719666
Commercial,31,9,Yes,Electrical,Medium,18,7,Yes,7,4,Yes,Yes,Within 1 year,28.21103468206284,84.64630057515109,3.2348925968188427,38.64945695758348
Commercial,27,7,No,Negligence,Medium,33,4,Yes,6,0,No,Yes,Within 1 year,22.92714760383821,85.24594715084305,2.594543362043879,57.25717551067645
Residential,34,9,No,Negligence,Medium,38,4,No,10,8,No,No,None,15.287250334026329,75.09331800605595,2.314238581637702,11.116849786831022
Commercial,25,6,Yes,Negligence,Small,42,4,Yes,3,8,No,No,None,22.251088481909616,62.157444468435976,3.040218806110939,33.29669779401185
Residential,21,6,Yes,Chemical,Medium,29,7,Yes,5,9,No,No,Over 3 years,17.283110033014133,67.32219292361084,3.6896595244414985,46.63114210720107
Commercial,30,8,No,Negligence,Medium,50,5,Yes,5,1,No,No,None,27.27891887601356,67.73730140151984,2.5556814060248856,17.725902975806708
Commercial,14,5,No,Electrical,Large,26,8,No,8,13,Yes,No,Within 1 year,22.239048844731595,81.05182979081131,2.8318659329202727,30.92593607080248
Residential,24,7,Yes,Negligence,Medium,20,4,No,6,0,No,No,None,15.786023091794371,77.94756448070098,2.0816718616906518,40.805654930914464
Residential,36,11,No,Chemical,Small,20,7,Yes,12,10,No,No,None,24.49889425892968,75.9443005467001,3.708282804753885,37.26812290247057
Commercial,37,11,Yes,Chemical,Medium,39,6,Yes,9,8,No,Yes,Over 3 years,24.50258628166955,45.61036431714359,4.5874218010804,29.61662232203521
Industrial,41,12,No,Chemical,Large,29,4,Yes,10,17,No,No,None,25.79129723600644,61.7874144238136,0.9586666848881856,62.14933367195796
Residential,34,10,No,Chemical,Small,26,4,No,11,11,Yes,No,Over 3 years,18.389329375645467,68.75176885792992,2.809444462759143,53.66265806158567
Residential,37,10,No,Chemical,Medium,4,5,Yes,10,12,Yes,No,Within 1 year,21.418078050799096,68.62769639037987,3.2402863493055363,16.782356300531205
Commercial,14,4,Yes,Negligence,Small,12,4,Yes,4,6,No,No,None,16.34521563710575,84.33652030140513,1.648847633202844,38.78601726096962
Commercial,36,11,Yes,Negligence,Medium,14,4,Yes,7,8,No,Yes,None,23.51888485341508,68.88547439898332,1.7169867011574458,19.106982960723823
Industrial,37,12,No,Electrical,Medium,18,4,No,6,3,No,No,None,22.089096536260524,61.64644586707611,4.794716428142413,21.17743198313824
Residential,37,10,Yes,Chemical,Small,12,9,Yes,6,5,No,No,None,19.975208444665952,46.80915627495454,0.6,46.56615058104912
Commercial,32,9,Yes,Chemical,Large,17,7,Yes,7,7,No,No,Over 3 years,23.86143432353676,63.56242760473254,2.493636450929507,43.08686227002504
Residential,27,7,Yes,Chemical,Small,15,7,Yes,7,7,No,Yes,Over 3 years,19.9355926147562,42.41191622113793,1.792655521145707,16.2703485031542
Industrial,9,2,Yes,Negligence,Medium,15,4,Yes,3,8,No,Yes,Within 1 year,24.79506749876291,94.71722304642012,3.7288881265456073,28.79775330450594
Commercial,41,11,Yes,Negligence,Small,16,10,Yes,9,7,No,No,Within 1 year,20.054935823704746,59.861160734889616,2.592894273729541,32.727300579047466
Commercial,7,2,Yes,Chemical,Small,32,1,No,1,6,No,No,None,26.07875399550856,85.42175836291491,0.7998890794228646,36.20085843051648
Commercial,19,5,No,Negligence,Medium,14,9,No,1,6,Yes,No,Over 3 years,16.705032971220717,42.51672073830464,1.0122275499437272,44.966914351101785
Commercial,19,7,No,Electrical,Medium,6,6,Yes,5,7,Yes,No,None,21.029114618401906,87.96947130378162,1.5591491979691514,2.3
Residential,35,10,Yes,Negligence,Large,25,5,No,10,5,Yes,No,1-3 years,21.3508553964673,99.4,2.524067727295144,2.3
Residential,31,9,No,Negligence,Medium,15,8,Yes,7,6,Yes,Yes,None,18.38017472626682,63.61892686900567,4.318522487088975,27.324597218342067
Residential,27,7,No,Chemical,Large,14,5,Yes,10,5,No,Yes,1-3 years,15.1,78.74860032289138,1.4033514264940254,11.86319090767272
Residential,10,3,No,Chemical,Medium,18,5,Yes,3,6,No,Yes,Within 1 year,15.1,70.4541392622115,0.6,64.17566533486111
Commercial,16,5,No,Negligence,Medium,33,6,Yes,5,7,Yes,No,Over 3 years,15.790901021898197,98.23283849989356,1.3411735493407628,78.04495278450099
Residential,12,4,No,Negligence,Medium,26,7,Yes,2,7,No,No,Over 3 years,21.358978858566843,51.773323019680056,2.694451840928798,2.3
Commercial,7,2,Yes,Chemical,Medium,39,4,No,1,0,No,Yes,Over 3 years,18.59337333886964,67.4525376182867,1.7386518050631956,67.40758657286904
Commercial,21,5,No,Negligence,Medium,50,9,Yes,5,1,No,No,Over 3 years,15.1,71.84877555353884,3.990260770431521,36.85795514571324
Residential,25,8,No,Electrical,Small,34,7,No,11,18,No,No,Within 1 year,24.62456219548732,99.4,1.7043897299762825,66.00655969215802
Residential,26,7,No,Electrical,Medium,38,8,No,5,4,No,No,None,15.1,56.27734479823268,1.581703737546616,37.996202118340925
Commercial,30,9,No,Chemical,Medium,14,10,Yes,10,13,No,No,None,23.487670174595124,71.56944003899784,0.6,56.62364009397585
Residential,28,8,Yes,Chemical,Medium,35,8,Yes,11,10,No,No,Over 3 years,26.44376868360638,61.39324798156811,0.6,80.61901590305877
Commercial,28,8,Yes,Chemical,Medium,35,2,Yes,6,3,No,No,None,23.28379047420275,67.69565729193403,3.8563134609078182,79.931021025385
Residential,37,10,Yes,Negligence,Small,32,3,Yes,10,2,Yes,Yes,1-3 years,21.48889601716456,80.67973375708522,2.299312127372356,2.3
Commercial,34,10,No,Electrical,Small,46,4,Yes,11,10,Yes,Yes,None,20.98784436379341,71.19925048403262,4.9,13.231262495880385
Industrial,5,2,No,Negligence,Medium,20,10,Yes,1,4,No,No,None,27.792156232211187,66.57232581381734,2.8779069274170195,87.70932398448933
Commercial,13,3,Yes,Negligence,Large,46,6,No,7,4,No,Yes,Over 3 years,21.198636890706176,72.68630013639994,3.4001658247021096,39.61576544644645
Residential,18,5,No,Negligence,Large,21,7,Yes,8,11,No,No,None,23.9624738919759,69.44462381323815,3.311894445704569,17.293923638812455
Residential,21,6,Yes,Negligence,Small,35,7,No,6,5,No,Yes,Within 1 year,27.2713294852761,47.765074819115526,2.3685860174312943,56.80130358910865
Commercial,32,10,No,Negligence,Medium,15,4,Yes,9,4,No,Yes,None,22.01944978185865,79.33497490220765,2.81292973688776,59.01199386037284
Commercial,14,3,Yes,Chemical,Medium,16,8,Yes,6,8,No,Yes,None,15.1,95.93055335456926,2.630128635157164,42.84402494692051
Residential,21,6,No,Electrical,Small,32,7,Yes,4,10,No,No,Within 1 year,16.99603246073675,61.115703304305,3.240427538465786,46.78549039963456
Industrial,33,9,Yes,Negligence,Medium,10,6,Yes,9,11,No,Yes,Over 3 years,29.7,99.4,0.6,61.798898564713575
Residential,43,13,No,Negligence,Medium,9,5,No,6,6,No,Yes,Over 3 years,25.66125861521324,71.90656222929182,0.9246322584856052,5.863813424910116
Residential,24,7,No,Negligence,Medium,20,10,Yes,7,7,No,No,None,15.1,67.6135599268867,1.0234822277894806,41.58884175197731
Residential,25,7,No,Negligence,Medium,50,4,Yes,3,1,Yes,No,None,19.29820167674687,65.73487240929724,2.8537503416647465,21.724882130819203
Residential,18,5,No,Chemical,Medium,31,6,No,3,0,No,No,None,16.74585961451443,63.82930165267058,2.058520955205892,2.3
Residential,28,8,No,Chemical,Small,38,8,No,8,3,No,No,None,24.25619251139516,68.35975779438152,2.568760452273682,52.339412172811
Residential,32,9,No,Chemical,Medium,30,8,Yes,11,3,Yes,Yes,None,16.345586577437775,63.33354306038018,2.8842697615059443,48.447068305091165
Residential,38,10,No,Chemical,Large,18,4,No,8,2,Yes,No,None,23.71426240868152,73.83385483766497,2.4241356875626865,2.3
Residential,15,5,Yes,Negligence,Medium,6,8,Yes,3,8,No,No,Over 3 years,15.1,82.87688723897597,3.1156806474255894,56.78860193756179
Residential,27,8,No,Chemical,Medium,19,7,Yes,8,10,No,No,Over 3 years,16.862485216539977,49.59436703466837,2.9487666331703086,47.44146786957168
Commercial,24,7,No,Negligence,Small,23,10,Yes,7,4,Yes,Yes,None,21.732869626805243,57.13491692877309,2.3033165438898253,39.6656821777171
Residential,31,9,No,Negligence,Large,38,5,Yes,11,6,No,Yes,None,20.05801842914143,99.4,0.7319482574457064,45.94085663085063
Commercial,44,13,No,Negligence,Large,18,9,Yes,12,16,No,No,None,29.113129630428084,87.36731894821544,2.376705029354763,26.00542662119672
Industrial,21,6,No,Negligence,Large,33,6,Yes,5,13,No,Yes,Within 1 year,29.7,60.70634944957804,2.332156351798451,53.92079315618281
Commercial,16,5,No,Negligence,Medium,26,7,No,2,3,No,No,Over 3 years,23.786180861157984,99.07831726999798,4.0457297856769365,2.3
Residential,44,13,No,Chemical,Medium,17,7,Yes,10,8,No,Yes,Over 3 years,24.6414165044476,61.760786064041255,1.7637883743317762,33.69271507740742
Residential,46,13,No,Negligence,Medium,31,5,No,13,18,No,Yes,None,29.552987169554555,66.63654163653646,3.343709643453897,18.40040632022183
Commercial,14,3,No,Chemical,Medium,6,6,No,5,5,No,No,Within 1 year,23.2901574818282,99.4,0.6,2.3
Commercial,30,8,No,Negligence,Medium,21,7,Yes,10,15,No,No,1-3 years,25.13266176212602,89.0058026816311,1.1269113899342873,17.5703325532435
Commercial,17,5,No,Chemical,Medium,35,4,No,4,6,No,Yes,Over 3 years,25.15782539868487,72.11203887005185,4.146435733789285,18.36984833822595
Residential,13,3,No,Negligence,Small,28,8,No,1,0,No,No,None,24.80941273861595,97.94499616402548,2.426312261498286,2.3
Commercial,15,5,Yes,Electrical,Medium,27,8,Yes,6,14,No,Yes,None,21.53077275276403,50.027899687345695,2.3533463940020964,66.44335128091453
Residential,49,14,Yes,Chemical,Small,32,3,No,14,11,No,No,None,22.30033837257256,69.2189785673371,1.354372622350514,2.6812422934846225
Residential,28,7,No,Chemical,Small,31,10,Yes,8,15,No,No,None,21.38358469200749,43.10940566308656,1.241681242081584,32.92671598479381
Commercial,38,11,No,Negligence,Medium,17,10,Yes,4,0,Yes,No,None,22.89254774716232,47.30875233296487,1.628539094398761,15.836686115186208
Industrial,10,3,Yes,Chemical,Small,39,5,Yes,2,6,No,Yes,None,15.542633790491752,57.47256624549143,1.4561132577467522,59.90831524190548
Commercial,43,13,No,Electrical,Medium,43,6,Yes,12,5,No,Yes,Within 1 year,17.427984415540568,82.88428118911484,2.6557888942441363,36.847285180798586
Commercial,29,8,Yes,Negligence,Medium,16,8,Yes,5,10,No,No,None,25.53249118237584,76.08700580074124,3.207693771655874,26.03755738042854
Residential,49,14,No,Chemical,Small,16,5,Yes,12,7,No,No,None,26.52403053235224,40.4,2.5772596555692746,6.865753586917805
Commercial,24,7,Yes,Negligence,Medium,45,4,Yes,9,11,No,Yes,None,22.783583342846526,81.10019033929379,4.002066697585871,45.68435024172975
Commercial,23,7,No,Negligence,Small,8,8,Yes,5,12,Yes,No,Within 1 year,20.42758882554111,72.26256141069722,3.2196961659184704,42.200688369491935
Commercial,35,10,Yes,Negligence,Small,6,9,Yes,7,2,Yes,No,None,21.287044782581127,49.79242247801741,2.318911541809796,33.836962985603215
Residential,38,11,Yes,Chemical,Small,19,3,Yes,9,10,Yes,No,1-3 years,22.202472677625284,47.94216748817155,2.466772301072554,5.142687776855929
Commercial,23,6,No,Negligence,Medium,16,8,Yes,9,11,Yes,Yes,Within 1 year,17.810123331769777,85.77963690424184,2.044465374992874,39.25704133592887
Residential,13,4,No,Chemical,Large,25,5,Yes,3,3,No,No,Over 3 years,21.48858604010081,40.4,3.8659490599936746,2.3
Residential,42,12,Yes,Negligence,Medium,22,10,Yes,13,8,No,Yes,Over 3 years,16.90598191447552,64.42234561800376,2.908488037248889,56.47719067098371
Residential,32,9,No,Negligence,Medium,9,8,Yes,7,7,No,No,Over 3 years,20.007695543104404,63.07240932431606,0.7311147814480727,38.86576619631083
Residential,27,7,No,Electrical,Small,33,9,Yes,9,10,No,No,None,17.628092207449814,79.40087469595169,4.127310810663372,50.9496104356454
Commercial,47,13,No,Negligence,Medium,4,6,Yes,12,13,No,No,None,23.07356874399132,82.55551696405708,0.8550326860177162,42.233411473931554
Industrial,27,8,Yes,Chemical,Large,0,8,Yes,9,13,No,No,None,19.070548178867877,58.296954773102506,4.176633315596701,94.1
Commercial,49,14,No,Chemical,Medium,29,4,Yes,11,12,Yes,Yes,None,27.647086952953387,80.53117943835352,1.6589097872549203,2.3
Residential,33,10,No,Negligence,Medium,12,6,Yes,8,7,No,Yes,None,23.053197105208277,49.83440829175909,4.014221830780045,2.3
Residential,33,10,Yes,Negligence,Medium,10,7,Yes,12,13,No,Yes,Within 1 year,21.379216403751432,71.13945885440921,1.2535779397689055,66.88984466592167
Residential,12,4,No,Chemical,Small,6,1,No,2,3,No,No,None,22.213999917232677,66.84417789891164,2.826877950088344,32.0880662937738
Commercial,24,7,No,Chemical,Large,17,10,Yes,6,8,No,No,None,26.667234603259505,54.37792623360957,2.449779555826032,23.057451349198693
Commercial,14,4,No,Chemical,Medium,36,4,No,1,8,No,No,Within 1 year,28.09983920892347,44.83155548707735,1.5662754897888682,30.63410511095984
Residential,29,8,Yes,Negligence,Medium,9,4,No,7,15,No,No,Within 1 year,23.6726337187712,95.97216960371937,0.7439319196180598,29.57674769121929
Residential,17,5,No,Chemical,Large,42,5,No,4,2,No,No,Within 1 year,23.385796150215263,57.81256414438275,1.0272737926735285,40.66346735694346
Commercial,27,8,Yes,Chemical,Medium,42,4,Yes,8,8,No,Yes,Within 1 year,18.193249488222754,56.132281043047065,0.9447946795550068,58.3952548547214
Commercial,43,13,Yes,Negligence,Large,14,7,Yes,13,12,No,No,None,19.80313075165329,68.39225098273891,3.4024994413576035,29.11676907659844
Residential,25,7,No,Chemical,Small,15,6,Yes,4,5,No,No,None,21.650783819431016,40.4,2.8576663640289266,2.3
Residential,22,7,No,Negligence,Medium,27,9,Yes,5,4,No,No,None,19.31918190621567,50.07610411695457,1.604661066768162,58.96598150473584
Residential,28,8,No,Negligence,Medium,23,8,Yes,8,4,No,No,None,20.97032295538076,41.48648162505579,0.9483043525058704,28.26533478363608
Residential,49,14,No,Chemical,Large,0,9,Yes,12,14,No,No,Over 3 years,22.62694449600768,54.80677831008998,0.6,52.85437769826905
Residential,14,4,No,Negligence,Large,40,7,Yes,6,0,No,No,None,29.040118067441167,63.667503008847184,3.884746784817807,36.29526917248548
Commercial,20,5,No,Chemical,Medium,25,9,Yes,3,7,No,No,1-3 years,26.45527553714121,45.48047272789632,2.4665712085602265,27.557793089594963
Industrial,9,2,Yes,Chemical,Small,28,4,No,2,6,No,No,Over 3 years,23.406511662156205,72.1778035426629,2.0278668132258337,79.56804959126148
Commercial,35,10,Yes,Negligence,Small,23,2,Yes,10,13,No,No,1-3 years,23.992274542981978,83.97788076829076,1.435133940805288,28.924591995575355
Residential,5,1,No,Chemical,Medium,41,5,Yes,1,0,Yes,No,Within 1 year,21.18455441663267,56.12166460769991,4.436455081157464,5.532527072960555
Commercial,31,9,No,Negligence,Medium,24,1,No,3,6,No,No,Over 3 years,22.553686458248222,68.34919516188998,3.97348088406138,31.85012312401514
Commercial,36,11,No,Negligence,Large,27,6,Yes,10,15,No,No,None,20.039451596758767,56.04519765072572,0.6,51.97838356265554
Residential,18,5,No,Chemical,Medium,45,2,Yes,3,0,No,No,None,17.001170012643527,72.97822422175878,2.605871167245002,41.25390885672165
Residential,31,9,Yes,Negligence,Medium,13,1,No,5,5,No,No,Within 1 year,21.87099043210512,66.26786910194127,4.299474392115188,39.78020624817214
Commercial,10,3,Yes,Negligence,Large,19,6,No,2,2,No,No,None,25.378099789246324,52.67305383345267,3.859562291461781,31.56704464530685
Residential,23,7,No,Negligence,Medium,21,2,Yes,8,8,No,No,Over 3 years,20.346384876579663,67.61508871962036,4.219750655730547,34.070741660918685
Residential,44,12,No,Chemical,Medium,39,7,Yes,11,0,No,No,1-3 years,16.065108807152058,67.43002920632094,1.2052283878187218,30.9318528316271
Commercial,22,6,No,Negligence,Medium,47,6,No,5,11,No,No,None,21.30966112602856,73.21651031462817,3.291399498056011,33.267125233348224
Commercial,10,4,Yes,Chemical,Medium,18,7,No,3,6,No,No,Over 3 years,24.636754126359037,54.04071509987509,2.92113866739639,58.61476900703124
Residential,38,12,Yes,Negligence,Medium,17,7,Yes,11,7,No,No,None,24.58017884707865,59.46699013654212,4.443823370014357,67.0723976093079
Commercial,13,3,No,Electrical,Medium,24,4,Yes,2,8,No,No,None,22.30232540801046,64.87577022989906,0.9761155750867272,70.08546137032599
Commercial,23,7,Yes,Chemical,Medium,48,4,Yes,6,2,No,Yes,1-3 years,20.32389643044421,66.66368733354187,4.522171535793782,39.8942165325794
Commercial,12,3,No,Negligence,Small,34,4,No,2,7,No,No,Over 3 years,22.2869110969982,47.11603732722517,3.6531639182227424,17.536121887128918
Commercial,13,3,No,Negligence,Medium,28,8,No,5,9,No,Yes,Over 3 years,22.300217939988435,74.57480555778113,2.4677570266812245,67.81211147836198
Residential,12,4,No,Negligence,Small,41,3,No,2,3,No,No,None,24.240641888456,88.1697278031489,3.500908269276967,47.59751951295892
Commercial,27,8,Yes,Chemical,Medium,26,5,No,5,1,No,No,Over 3 years,25.62288273476776,75.11817109676029,1.5352745974025948,2.3
Commercial,11,3,No,Chemical,Small,38,3,Yes,5,6,No,No,Over 3 years,18.446690328874936,76.60366591639412,2.771460783557477,33.64072867990759
Commercial,22,6,Yes,Negligence,Medium,28,5,No,1,4,No,No,Within 1 year,15.255619870292,40.4,3.535339892038179,49.18921791369523
Commercial,30,8,Yes,Chemical,Medium,12,9,No,9,12,No,No,None,25.706354883792297,88.78256136852032,2.404217340123103,28.78429110191005
Commercial,17,5,Yes,Chemical,Medium,30,7,No,6,3,No,Yes,None,19.587668884623856,69.15159030499863,2.550997183031096,74.30003472522276
Residential,15,5,Yes,Chemical,Medium,30,7,No,8,6,No,No,Over 3 years,18.56082224761813,76.51388523420896,3.075357779634112,92.48449598463384
Commercial,5,1,Yes,Chemical,Small,19,6,No,1,0,No,No,Over 3 years,19.309971544999645,61.32022058432037,1.88660478439728,13.002772496074073
Residential,34,9,No,Negligence,Medium,20,6,Yes,12,16,Yes,No,Over 3 years,20.69949358053931,74.13571906012058,3.808951130136549,68.49141823263943
Industrial,27,8,No,Chemical,Medium,36,5,No,10,7,No,No,None,27.9497380111313,85.31323352468719,4.473058979519873,40.470032633406056
Industrial,22,7,Yes,Chemical,Large,31,1,Yes,6,13,No,No,None,22.23995484332494,70.10902068172769,1.6914087803580922,69.3591693444682
Residential,35,9,No,Negligence,Small,17,8,No,8,4,No,No,1-3 years,21.361526834353583,50.24520918745043,2.0535368514614976,2.3
Commercial,32,10,No,Electrical,Medium,5,6,Yes,13,13,No,No,Over 3 years,19.6341455764996,83.36986388874425,2.921161232779828,65.45767457189318
Commercial,34,10,Yes,Chemical,Large,34,4,Yes,4,5,No,Yes,None,23.86745514777745,75.6272225263576,0.9593169272988036,3.87378070717373
Commercial,32,9,No,Negligence,Medium,38,6,No,7,0,No,No,1-3 years,20.98431320475157,67.9210216560782,3.206781120131168,2.3
Commercial,34,10,No,Negligence,Medium,11,1,Yes,11,14,No,Yes,Within 1 year,23.53618229315101,81.45489211946916,4.004169699746832,34.80933880102739
Residential,39,11,No,Negligence,Small,42,4,Yes,12,5,No,No,None,15.1,66.59429348380878,3.304488550922813,2.5188661639870134
Commercial,15,5,No,Negligence,Large,27,9,No,8,11,Yes,No,None,15.1,77.24683383302988,1.9968494362206035,94.1
Residential,47,13,No,Chemical,Medium,0,10,Yes,11,5,No,Yes,None,20.66249362077148,63.99846627701037,2.8078998712202488,40.809424292819365
Commercial,37,11,No,Chemical,Small,47,6,Yes,11,14,No,No,None,23.30083437035188,85.51704595556316,2.3201094418819195,59.46773426083044
Residential,49,14,No,Negligence,Medium,12,7,Yes,17,15,No,Yes,Over 3 years,23.77124262910159,97.58971512892514,3.6373068489221128,27.17955211455495
Commercial,22,7,No,Negligence,Medium,34,2,No,2,4,Yes,No,1-3 years,22.13953641700904,84.77352044381581,1.3975747305379884,30.985622378713558
Residential,39,12,Yes,Negligence,Small,25,6,Yes,17,17,No,No,Over 3 years,26.20534775060235,80.46076066619413,2.164572313448053,94.1
Residential,21,5,No,Negligence,Small,2,7,Yes,3,6,No,No,1-3 years,21.521352260670625,59.83544374376003,2.923470107113711,17.268949690175166
Residential,17,5,Yes,Negligence,Small,16,8,No,8,7,Yes,No,1-3 years,20.962860082829422,56.04225685354244,2.5180597027569003,62.04255438481732
Residential,22,7,No,Chemical,Large,23,2,Yes,2,2,No,Yes,None,19.82081340749976,46.79744461268288,4.130187225003186,44.000571006003504
Residential,35,11,Yes,Chemical,Medium,5,6,No,8,14,Yes,Yes,Over 3 years,21.49635249532134,52.87167652803468,4.072922594555501,71.89539013664148
Commercial,26,8,No,Negligence,Medium,16,8,Yes,4,2,No,Yes,None,19.009704061800168,59.59130805445053,3.973756387225529,39.45498759369985
Residential,31,10,Yes,Chemical,Large,23,1,No,6,11,No,Yes,None,27.1044856584152,62.64964502398895,2.886499556455504,37.472810684041136
Commercial,37,11,No,Chemical,Medium,27,10,Yes,3,1,No,No,None,19.64972657066676,40.4,1.8040907707154097,2.3
Residential,21,6,No,Chemical,Medium,29,10,Yes,7,8,No,No,Over 3 years,23.481934814385387,78.95017683488551,3.653032805685493,27.73879681557369
Residential,35,10,No,Negligence,Large,24,8,Yes,15,15,Yes,No,None,27.372304457542132,71.4709254971315,3.711012015328008,49.35909683807584
Commercial,21,6,Yes,Chemical,Medium,12,1,No,1,0,No,No,Over 3 years,22.01659455183914,99.4,4.7518636185029735,2.3
Residential,33,9,No,Chemical,Small,9,9,No,8,5,No,No,None,24.10291015367801,71.47767677911445,2.380979186127889,43.95137437323058
Commercial,20,6,Yes,Chemical,Small,3,9,No,1,3,No,No,None,26.41195846229636,54.56072667543259,1.0925479083457266,23.3842627400412
Commercial,39,12,No,Negligence,Small,17,7,Yes,13,10,No,No,Over 3 years,16.81184454476995,69.17528384225844,2.368992363552697,54.44146512214044
Commercial,20,6,Yes,Chemical,Small,26,6,Yes,4,9,No,Yes,Within 1 year,23.596296708714156,63.32246718141988,2.532469818733676,63.99944945436706
Commercial,20,6,Yes,Negligence,Large,27,7,No,5,9,No,Yes,Over 3 years,22.46725423365339,61.79139298600323,2.7048945558233104,71.79652229585867
Commercial,39,11,Yes,Chemical,Small,36,1,No,9,9,No,Yes,None,25.598440683590077,75.31985451372869,1.5181188457144763,16.551203574194602
Residential,41,12,No,Negligence,Medium,20,7,No,8,10,No,Yes,1-3 years,21.912458419145285,54.798738409596616,2.2151215580059875,4.979383676258163
Commercial,40,12,No,Negligence,Medium,33,7,Yes,12,16,No,No,None,24.82464329321513,79.03131012948613,2.031735174429303,38.63166048741365
Residential,16,5,Yes,Chemical,Medium,15,6,No,8,8,No,No,Within 1 year,20.804365040416936,76.65609939875367,2.86378284356382,37.131943079527375
Industrial,49,14,Yes,Negligence,Medium,9,5,No,15,16,No,No,Over 3 years,28.861251838531174,86.49665423989757,2.26871794253645,15.622671214137997
Residential,27,7,No,Chemical,Small,14,7,Yes,8,10,No,No,Over 3 years,23.515147064740056,53.772451610767206,2.6553821787885727,17.191160405663418
Industrial,32,10,Yes,Chemical,Small,31,5,Yes,5,8,No,No,Over 3 years,29.0623174172923,51.754301998274016,2.0294792372217607,46.63264529084909
Industrial,43,12,Yes,Chemical,Small,44,3,Yes,5,6,No,Yes,Within 1 year,28.87172302414465,78.43097535857572,3.1738754585975357,5.02696844163593
Residential,11,3,No,Negligence,Medium,37,6,Yes,2,4,No,Yes,Within 1 year,23.92600351163055,52.57294792172513,1.6947412615535602,39.71068819302123
Industrial,13,4,No,Chemical,Small,50,6,Yes,6,12,No,No,Over 3 years,22.57039227904999,64.03571899818952,1.7564721480263668,44.33790842098233
Residential,30,8,Yes,Negligence,Medium,26,7,No,4,1,Yes,No,None,17.305965366773997,40.4,1.910219372077245,44.32174956622022
Commercial,31,9,No,Negligence,Medium,14,10,Yes,7,10,No,No,Over 3 years,18.3529706681301,52.89427468976512,1.0615468298296489,33.83249155964408
Industrial,30,8,Yes,Negligence,Small,13,4,No,10,6,No,Yes,None,23.616694685082884,79.62494716299176,2.9681830781488703,24.02099829251298
Residential,11,4,Yes,Chemical,Small,22,6,Yes,5,1,No,No,Over 3 years,15.1,74.08532930824704,3.6077988565619137,49.89752805371873
Commercial,32,9,Yes,Negligence,Medium,37,5,Yes,7,15,Yes,Yes,Within 1 year,22.59526185599563,54.61726935426351,3.1679224822478984,73.20534841667438
Residential,36,11,No,Chemical,Medium,32,6,No,10,6,No,Yes,Over 3 years,28.10336829599855,77.1112631635497,2.45481864541157,14.833649113137668
Residential,38,11,No,Negligence,Medium,32,9,Yes,10,10,No,No,None,26.17409902284728,40.4,2.5077738335530824,16.183281469888357
Industrial,44,13,No,Electrical,Small,20,7,No,9,6,No,No,Within 1 year,24.117021973946716,72.65071097794018,2.5843021398246884,2.3
Commercial,9,2,Yes,Chemical,Medium,46,1,Yes,3,0,No,Yes,None,25.357206201185875,61.290304539224,3.183008754048296,37.59207848072684
Commercial,10,2,Yes,Chemical,Medium,50,1,No,1,0,No,No,Within 1 year,23.797505680279382,72.42596501126015,4.121738275967355,34.22033905628021
Industrial,19,5,No,Chemical,Medium,8,4,No,1,2,No,No,1-3 years,27.35389793043404,80.85303745188777,2.121899633312949,46.052691705413096
Commercial,32,8,No,Negligence,Small,42,7,Yes,8,14,No,No,None,25.62823523057804,57.91233834672446,3.5579361772863884,21.130843112566325
Commercial,48,14,No,Negligence,Small,10,4,No,12,3,No,No,None,19.569455575247133,85.12099119986979,3.4333310456235315,18.99501666060541
Commercial,19,6,No,Negligence,Small,3,7,No,3,7,No,No,1-3 years,26.25405997333772,60.672508372809126,4.112112151546674,8.99776941442758
Industrial,31,9,Yes,Negligence,Medium,45,8,No,7,11,No,No,None,23.494572974410715,83.35044315116737,1.9158501454156784,63.04744896243433
Commercial,34,10,Yes,Chemical,Large,4,6,Yes,8,13,No,No,Over 3 years,19.488151954051038,42.97303239386546,1.3519143716410718,51.7415690182778
Commercial,33,9,No,Negligence,Medium,7,7,No,5,2,No,No,None,22.372737359345628,80.30052578772657,2.309869473585648,33.05692894095741
